INFO 2018-07-08 11:55:00,846 regain_all_loss 11664 11868 Index:380, current_money:9955.68757967748, current_bet:36.21321399722487, max_money: 10044.047821830709
INFO 2018-07-08 11:55:00,846 regain_all_loss 11664 11868 Index:381, current_money:9987.193075855066, current_bet:10, max_money: 10044.047821830709
INFO 2018-07-08 11:55:00,847 regain_all_loss 11664 11868 Index:384, current_money:9995.793075855066, current_bet:10, max_money: 10044.047821830709
INFO 2018-07-08 11:55:00,847 regain_all_loss 11664 11868 Index:395, current_money:9985.793075855066, current_bet:22.49217991337546, max_money: 10044.047821830709
INFO 2018-07-08 11:55:00,847 regain_all_loss 11664 11868 Index:399, current_money:9997.264087610889, current_bet:10, max_money: 10044.047821830709
INFO 2018-07-08 11:55:00,847 regain_all_loss 11664 11868 Index:408, current_money:10005.46408761089, current_bet:10, max_money: 10044.047821830709
INFO 2018-07-08 11:55:00,847 regain_all_loss 11664 11868 Index:415, current_money:10013.764087610889, current_bet:10, max_money: 10044.047821830709
INFO 2018-07-08 11:55:00,847 regain_all_loss 11664 11868 Index:423, current_money:10019.86408761089, current_bet:10, max_money: 10044.047821830709
INFO 2018-07-08 11:55:00,847 regain_all_loss 11664 11868 Index:428, current_money:10028.764087610889, current_bet:10, max_money: 10044.047821830709
INFO 2018-07-08 11:55:00,848 regain_all_loss 11664 11868 Index:430, current_money:10018.764087610889, current_bet:9.364346007340727, max_money: 10044.047821830709
INFO 2018-07-08 11:55:00,848 regain_all_loss 11664 11868 Index:433, current_money:10025.880990576468, current_bet:10, max_money: 10044.047821830709
INFO 2018-07-08 11:55:00,848 regain_all_loss 11664 11868 Index:437, current_money:10030.880990576468, current_bet:10, max_money: 10044.047821830709
INFO 2018-07-08 11:55:00,848 regain_all_loss 11664 11868 Index:440, current_money:10036.480990576469, current_bet:10, max_money: 10044.047821830709
INFO 2018-07-08 11:55:00,848 regain_all_loss 11664 11868 Index:458, current_money:10026.480990576469, current_bet:6.251541371615744, max_money: 10044.047821830709
INFO 2018-07-08 11:55:00,848 regain_all_loss 11664 11868 Index:462, current_money:10020.229449204853, current_bet:8.789067389614676, max_money: 10044.047821830709
INFO 2018-07-08 11:55:00,849 regain_all_loss 11664 11868 Index:467, current_money:10011.440381815239, current_bet:11.282851216425701, max_money: 10044.047821830709
INFO 2018-07-08 11:55:00,849 regain_all_loss 11664 11868 Index:471, current_money:10019.67686320323, current_bet:10, max_money: 10044.047821830709
INFO 2018-07-08 11:55:00,849 regain_all_loss 11664 11868 Index:472, current_money:10009.67686320323, current_bet:12.017817701915419, max_money: 10044.047821830709
INFO 2018-07-08 11:55:00,849 regain_all_loss 11664 11868 Index:474, current_money:10015.685772054188, current_bet:10, max_money: 10044.047821830709
INFO 2018-07-08 11:55:00,849 regain_all_loss 11664 11868 Index:475, current_money:10005.685772054188, current_bet:15.10316920335453, max_money: 10044.047821830709
INFO 2018-07-08 11:55:00,849 regain_all_loss 11664 11868 Index:478, current_money:10014.143546808067, current_bet:10, max_money: 10044.047821830709
INFO 2018-07-08 11:55:00,850 regain_all_loss 11664 11868 Index:484, current_money:10004.143546808067, current_bet:14.670689346559465, max_money: 10044.047821830709
INFO 2018-07-08 11:55:00,850 regain_all_loss 11664 11868 Index:485, current_money:10015.880098285314, current_bet:10, max_money: 10044.047821830709
INFO 2018-07-08 11:55:00,850 regain_all_loss 11664 11868 Index:493, current_money:10021.980098285314, current_bet:10, max_money: 10044.047821830709
INFO 2018-07-08 11:55:00,850 regain_all_loss 11664 11868 Index:497, current_money:10030.680098285315, current_bet:10, max_money: 10044.047821830709
INFO 2018-07-08 11:55:00,850 regain_all_loss 11664 11868 Index:510, current_money:10020.680098285315, current_bet:8.0857174897558, max_money: 10044.047821830709
INFO 2018-07-08 11:55:00,850 regain_all_loss 11664 11868 Index:525, current_money:10025.693243128964, current_bet:10, max_money: 10044.047821830709
INFO 2018-07-08 11:55:00,850 regain_all_loss 11664 11868 Index:526, current_money:10029.993243128964, current_bet:10, max_money: 10044.047821830709
INFO 2018-07-08 11:55:00,851 regain_all_loss 11664 11868 Index:527, current_money:10035.793243128963, current_bet:10, max_money: 10044.047821830709
INFO 2018-07-08 11:55:00,851 regain_all_loss 11664 11868 Index:534, current_money:10025.793243128963, current_bet:6.967396451048145, max_money: 10044.047821830709
INFO 2018-07-08 11:55:00,851 regain_all_loss 11664 11868 Index:536, current_money:10018.825846677915, current_bet:9.775959361547935, max_money: 10044.047821830709
INFO 2018-07-08 11:55:00,851 regain_all_loss 11664 11868 Index:554, current_money:10009.049887316367, current_bet:13.307199435111018, max_money: 10044.047821830709
INFO 2018-07-08 11:55:00,851 regain_all_loss 11664 11868 Index:560, current_money:10017.83263894354, current_bet:10, max_money: 10044.047821830709
INFO 2018-07-08 11:55:00,851 regain_all_loss 11664 11868 Index:563, current_money:10023.032638943541, current_bet:10, max_money: 10044.047821830709
INFO 2018-07-08 11:55:00,852 regain_all_loss 11664 11868 Index:567, current_money:10013.032638943541, current_bet:11.74817533604834, max_money: 10044.047821830709
INFO 2018-07-08 11:55:00,852 regain_all_loss 11664 11868 Index:570, current_money:10020.551471158613, current_bet:10, max_money: 10044.047821830709
INFO 2018-07-08 11:55:00,852 regain_all_loss 11664 11868 Index:580, current_money:10029.151471158613, current_bet:10, max_money: 10044.047821830709
INFO 2018-07-08 11:55:00,852 regain_all_loss 11664 11868 Index:582, current_money:10036.151471158613, current_bet:10, max_money: 10044.047821830709
INFO 2018-07-08 11:55:00,852 regain_all_loss 11664 11868 Index:599, current_money:10026.151471158613, current_bet:6.460776415919007, max_money: 10044.047821830709
INFO 2018-07-08 11:55:00,852 regain_all_loss 11664 11868 Index:601, current_money:10019.690694742694, current_bet:8.761556506480124, max_money: 10044.047821830709
INFO 2018-07-08 11:55:00,852 regain_all_loss 11664 11868 Index:604, current_money:10010.929138236213, current_bet:12.886647313033247, max_money: 10044.047821830709
INFO 2018-07-08 11:55:00,853 regain_all_loss 11664 11868 Index:605, current_money:10018.789993097163, current_bet:10, max_money: 10044.047821830709
INFO 2018-07-08 11:55:00,853 regain_all_loss 11664 11868 Index:610, current_money:10024.489993097164, current_bet:10, max_money: 10044.047821830709
INFO 2018-07-08 11:55:00,853 regain_all_loss 11664 11868 Index:614, current_money:10031.389993097164, current_bet:10, max_money: 10044.047821830709
INFO 2018-07-08 11:55:00,853 regain_all_loss 11664 11868 Index:617, current_money:10037.889993097164, current_bet:10, max_money: 10044.047821830709
